text,tactic
"client configurations adversaries may gather information about the victim's client configurations that can be used during targeting information about client configurations may include a variety of details and settings, including operating system version, virtualization, architecture ex: 32 or 64 bit , language, and or time zone adversaries may gather this information in various ways, such as direct collection actio pre",reconnaissance
"ide tunneling adversaries may abuse integrated development environment ide software with remote development features to establish an interactive command and control channel on target systems within a network ide tunneling combines ssh, port forwarding, file sharing, and debugging into a single secure connection, letting developers work on remote systems as if they were local unlike ssh and port forwarding, linux macos windows",command-and-control
"right to left override adversaries may abuse the right to left override rtlo or rlo character u+202e to disguise a string and or file name to make it appear benign rtlo is a non printing unicode character that causes the text that follows it to be displayed in reverse for example, a windows screensaver executable named <code>march 25 \u202excod scr< code> will display as <code>march 25 rcs docx< code> a javascrip linux macos windows",defense-evasion
"malware adversaries may buy, steal, or download malware that can be used during targeting malicious software can include payloads, droppers, post compromise tools, backdoors, packers, and c2 protocols adversaries may acquire malware to support their operations, obtaining a means for maintaining control of remote machines, evading defenses, and executing post compromise behaviors in addition to downloa pre",resource-development
"svg smuggling adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign svg files citation: trustwave svg smuggling 2025 svgs, or scalable vector graphics, are vector based image files constructed using xml as such, they can legitimately include tags that enable adversaries to include malicious javascript payloads however, svgs may appear linux macos windows",defense-evasion
component firmware adversaries may modify component firmware to persist on systems some adversaries may employ sophisticated means to compromise computer components and install malicious firmware that will execute adversary code outside of the operating system and main system firmware or bios this technique may be similar to system firmware but conducted upon other windows linux macos,defense-evasion
component firmware adversaries may modify component firmware to persist on systems some adversaries may employ sophisticated means to compromise computer components and install malicious firmware that will execute adversary code outside of the operating system and main system firmware or bios this technique may be similar to system firmware but conducted upon other windows linux macos,persistence
"indicator removal adversaries may selectively delete or modify artifacts generated to reduce indications of their presence and blend in with legitimate activity rather than broadly removing evidence, adversaries may target specific artifacts that appear anomalous or are likely to draw scrutiny, while leaving sufficient data intact to maintain the appearance of normal system behavior artifacts such as command his containers esxi linux macos network devices office suite windows",defense-evasion
exfiltration over symmetric encrypted non c2 protocol adversaries may steal data by exfiltrating it over a symmetrically encrypted network protocol other than that of the existing command and control channel the data may also be sent to an alternate network location from the main command and control server symmetric encryption algorithms are those that use shared or the same keys secrets on each end of the channel this requires an exchange or pr linux macos windows esxi,exfiltration
office template macros adversaries may abuse microsoft office templates to obtain persistence on a compromised system microsoft office contains templates that are part of common office applications and are used to customize styles the base templates within the application are used each time an application starts citation: microsoft change normal template office visual basic for applications vba macros citation: office suite windows,persistence
"virtual private server adversaries may rent virtual private servers vpss that can be used during targeting there exist a variety of cloud service providers that will sell virtual machines containers as a service by utilizing a vps, adversaries can make it difficult to physically tie back operations to them the use of cloud infrastructure can also make it easier for adversaries to rapidly provision, modify, and shut pre",resource-development
"confluence adversaries may leverage confluence repositories to mine valuable information often found in development environments alongside atlassian jira, confluence is generally used to store development related documentation, however, in general may contain more diverse categories of useful information, such as: * policies, procedures, and standards * physical logical network diagrams * system archite saas",collection
"pass the ticket adversaries may “pass the ticket” using stolen kerberos tickets to move laterally within an environment, bypassing normal system access controls pass the ticket ptt is a method of authenticating to a system using kerberos tickets without having access to an account's password kerberos authentication can be used as the first step to lateral movement to a remote system when preforming ptt, val windows",lateral-movement
"container administration command adversaries may abuse a container administration service to execute commands within a container a container administration service such as the docker daemon, the kubernetes api server, or the kubelet may allow remote management of containers within an environment citation: docker daemon cli citation: kubernetes api citation: kubernetes kubelet in docker, adversaries may specify an entrypoint containers",execution
"file and directory discovery adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system adversaries may use the information from file and directory discovery during automated discovery to shape follow on behaviors, including whether or not the adversary fully infects the target and or esxi linux macos network devices windows",discovery
"dynamic resolution adversaries may dynamically establish connections to command and control infrastructure to evade common detections and remediations this may be achieved by using malware that shares a common algorithm with the infrastructure the adversary uses to receive the malware's communications these calculations can be used to dynamically adjust parameters such as the domain name, ip address, or port numbe esxi linux macos windows",command-and-control
masquerade task or service adversaries may attempt to manipulate the name of a task or service to make it appear legitimate or benign tasks services executed by the task scheduler or systemd will typically be given a name and or description citation: technet schtasks citation: systemd service units windows services will have a service name as well as a display name many benign tasks and services exist that have commonl linux macos windows,defense-evasion
asynchronous procedure call adversaries may inject malicious code into processes via the asynchronous procedure call apc queue in order to evade process based defenses as well as possibly elevate privileges apc injection is a method of executing arbitrary code in the address space of a separate live process apc injection is commonly performed by attaching malicious code to the apc queue citation: microsoft apc of a p windows,defense-evasion
asynchronous procedure call adversaries may inject malicious code into processes via the asynchronous procedure call apc queue in order to evade process based defenses as well as possibly elevate privileges apc injection is a method of executing arbitrary code in the address space of a separate live process apc injection is commonly performed by attaching malicious code to the apc queue citation: microsoft apc of a p windows,privilege-escalation
"traffic duplication adversaries may leverage traffic mirroring in order to automate data exfiltration over compromised infrastructure traffic mirroring is a native feature for some devices, often used for network analysis for example, devices may be configured to forward network traffic to one or more destinations for analysis by a network analyzer or other monitoring device citation: cisco traffic mirroring cit network devices iaas",exfiltration
"plist file modification adversaries may modify property list files plist files to enable other malicious activity, while also potentially evading and bypassing system defenses macos applications use plist files, such as the <code>info plist< code> file, to store properties and configuration settings that inform the operating system how to handle the application at runtime plist files are structured metadata in key va macos",defense-evasion
"jamplus adversaries may use to proxy the execution of a malicious script is a build utility tool for code and data build systems it works with several popular compilers and can be used for generating workspaces in code editors such as visual studio citation: jamplus manual adversaries may abuse the build utility to execute malicious scripts via a file, which descr windows",defense-evasion
"jamplus adversaries may use to proxy the execution of a malicious script is a build utility tool for code and data build systems it works with several popular compilers and can be used for generating workspaces in code editors such as visual studio citation: jamplus manual adversaries may abuse the build utility to execute malicious scripts via a file, which descr windows",execution
appcert dlls adversaries may establish persistence and or elevate privileges by executing malicious content triggered by appcert dlls loaded into processes dynamic link libraries dlls that are specified in the <code>appcertdlls< code> registry key under <code>hkey local machine\system\currentcontrolset\control\session manager\< code> are loaded into every process that calls the ubiquitously used application windows,privilege-escalation
appcert dlls adversaries may establish persistence and or elevate privileges by executing malicious content triggered by appcert dlls loaded into processes dynamic link libraries dlls that are specified in the <code>appcertdlls< code> registry key under <code>hkey local machine\system\currentcontrolset\control\session manager\< code> are loaded into every process that calls the ubiquitously used application windows,persistence
"email forwarding rule adversaries may setup email forwarding rules to collect sensitive information adversaries may abuse email forwarding rules to monitor the activities of a victim, steal information, and further gain intelligence on the victim or the victim’s organization to use as part of further exploits or operations citation: us cert ta18 068a 2018 furthermore, email forwarding rules can allow adversaries to linux macos office suite windows",collection
"data staged adversaries may stage collected data in a central location or directory prior to exfiltration data may be kept in separate files or combined into one file through techniques such as archive collected data interactive command shells may be used, and common functionality within cmd and bash may be used to copy esxi iaas linux macos windows",collection
"steal or forge authentication certificates adversaries may steal or forge certificates used for authentication to access remote systems or resources digital certificates are often used to sign and encrypt messages and or files certificates are also used as authentication material for example, entra id device certificates and active directory certificate services ad cs certificates bind to an identity and can be used as credentials for windows linux macos identity provider",credential-access
"device registration adversaries may register a device to an adversary controlled account devices may be registered in a multifactor authentication mfa system, which handles authentication to the network, or in a device management system, which handles device access and compliance mfa systems, such as duo or okta, allow users to associate devices with their accounts in order to complete mfa requirements an adver windows identity provider",persistence
"device registration adversaries may register a device to an adversary controlled account devices may be registered in a multifactor authentication mfa system, which handles authentication to the network, or in a device management system, which handles device access and compliance mfa systems, such as duo or okta, allow users to associate devices with their accounts in order to complete mfa requirements an adver windows identity provider",privilege-escalation
system network connections discovery adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network an adversary who gains access to a system that is part of a cloud based environment may map out virtual private clouds or virtual networks in order to determine what systems and services are connected esxi iaas linux macos network devices windows,discovery
"compromise infrastructure adversaries may compromise third party infrastructure that can be used during targeting infrastructure solutions include physical or cloud servers, domains, network devices, and third party web and dns services instead of buying, leasing, or renting infrastructure an adversary may compromise infrastructure and use it during other phases of the adversary lifecycle citation: mandiant apt1 citati pre",resource-development
"mark of the web bypass adversaries may abuse specific file formats to subvert mark of the web motw controls in windows, when files are downloaded from the internet, they are tagged with a hidden ntfs alternate data stream ads named <code>zone identifier< code> with a specific value known as the motw citation: microsoft zone identifier 2020 files that are tagged with motw are protected and cannot perform certain a windows",defense-evasion
"disable crypto hardware adversaries disable a network device’s dedicated hardware encryption, which may enable them to leverage weaknesses in software encryption in order to reduce the effort involved in collecting, manipulating, and exfiltrating transmitted data many network devices such as routers, switches, and firewalls, perform encryption on network traffic to secure transmission across networks often, these devi network devices",defense-evasion
"pre os boot adversaries may abuse pre os boot mechanisms as a way to establish persistence on a system during the booting process of a computer, firmware and various startup services are loaded before the operating system these programs control flow of execution before the operating system takes control citation: wikipedia booting adversaries may overwrite data in boot drivers or firmware such as bios b linux macos network devices windows",defense-evasion
"pre os boot adversaries may abuse pre os boot mechanisms as a way to establish persistence on a system during the booting process of a computer, firmware and various startup services are loaded before the operating system these programs control flow of execution before the operating system takes control citation: wikipedia booting adversaries may overwrite data in boot drivers or firmware such as bios b linux macos network devices windows",persistence
"build image on host adversaries may build a container image directly on a host to bypass defenses that monitor for the retrieval of malicious images from a public registry a remote <code>build< code> request may be sent to the docker api that includes a dockerfile that pulls a vanilla base image, such as alpine, from a public or local registry and then builds a custom image upon it citation: docker build image an containers",defense-evasion
portable executable injection adversaries may inject portable executables pe into processes in order to evade process based defenses as well as possibly elevate privileges pe injection is a method of executing arbitrary code in the address space of a separate live process pe injection is commonly performed by copying code perhaps without a file on disk into the virtual address space of the target process before invokin windows,defense-evasion
portable executable injection adversaries may inject portable executables pe into processes in order to evade process based defenses as well as possibly elevate privileges pe injection is a method of executing arbitrary code in the address space of a separate live process pe injection is commonly performed by copying code perhaps without a file on disk into the virtual address space of the target process before invokin windows,privilege-escalation
verclsid adversaries may abuse verclsid exe to proxy execution of malicious code verclsid exe is known as the extension clsid verification host and is responsible for verifying each shell extension before they are used by windows explorer or the windows shell citation: winosbite verclsid exe adversaries may abuse verclsid exe to execute malicious payloads this may be achieved by running <code>verclsid windows,defense-evasion
"compromise accounts adversaries may compromise accounts with services that can be used during targeting for operations incorporating social engineering, the utilization of an online persona may be important rather than creating and cultivating accounts i e establish accounts adversaries may compromise existing accounts utilizing an existing persona may engender a le pre",resource-development
"launchctl adversaries may abuse launchctl to execute commands or programs launchctl interfaces with launchd, the service management framework for macos launchctl supports taking subcommands on the command line, interactively, or even redirected from standard input citation: launchctl man adversaries use launchctl to execute commands and programs as launch agent macos",execution
"botnet adversaries may compromise numerous third party systems to form a botnet that can be used during targeting a botnet is a network of compromised systems that can be instructed to perform coordinated tasks citation: norton botnet instead of purchasing renting a botnet from a booter stresser service, adversaries may build their own botnet by compromising numerous third party systems citation: imp pre",resource-development
"network device cli adversaries may abuse scripting or built in command line interpreters cli on network devices to execute malicious command and payloads the cli is the primary means through which users and administrators interact with the device in order to view system information, modify device operations, or perform diagnostic and administrative functions clis typically contain various permission levels requi network devices",execution
"shell history adversaries may search the command history on compromised systems for insecurely stored credentials on linux and macos systems, shells such as bash and zsh keep track of the commands users type on the command line with the ""history"" utility once a user logs out, the history is flushed to the user's history file for each user, this file resides at the same location: for example, `~ bash histor linux macos windows",credential-access
"xpc services adversaries can provide malicious content to an xpc service daemon for local code execution macos uses xpc services for basic inter process communication between various processes, such as between the xpc service daemon and third party application privileged helper tools applications can send messages to the xpc service daemon, which runs as root, using the low level xpc service <code>c api< cod macos",execution
"virtualization sandbox evasion adversaries may employ various means to detect and avoid virtualization and analysis environments this may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment vme or sandbox if the adversary detects a vme, they may alter their malware to disengage from the victim or conceal the core functions of the implant they m linux macos windows",defense-evasion
"virtualization sandbox evasion adversaries may employ various means to detect and avoid virtualization and analysis environments this may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment vme or sandbox if the adversary detects a vme, they may alter their malware to disengage from the victim or conceal the core functions of the implant they m linux macos windows",discovery
"web service adversaries may use an existing, legitimate external web service as a means for relaying data to from a compromised system popular websites, cloud services, and social media acting as a mechanism for c2 may give a significant amount of cover due to the likelihood that hosts within a network are already communicating with them prior to a compromise using common services, such as those offered by esxi linux macos windows",command-and-control
"credentials in files adversaries may search local file systems and remote file shares for files containing insecurely stored credentials these can be files created by users to store their own credentials, shared credential stores for a group of individuals, configuration files containing passwords for a system or service, or source code binary files containing embedded passwords it is possible to extract passwords containers iaas linux macos windows",credential-access
"dns calculation adversaries may perform calculations on addresses returned in dns results to determine which port and ip address to use for command and control, rather than relying on a predetermined port number or the actual returned ip address a ip and or port number calculation can be used to bypass egress filtering on a c2 channel citation: meyers numbered panda one implementation of dns calculation htt esxi linux macos windows",command-and-control
mshta adversaries may abuse mshta exe to proxy execution of malicious hta files and javascript or vbscript through a trusted windows utility there are several examples of different types of threats leveraging mshta exe during initial compromise and for execution of code citation: cylance dust storm citation: red canary hta abuse part deux citation: fireeye attacks leveraging hta citation: airbu windows,defense-evasion
"login items adversaries may add login items to execute upon user login to gain persistence or escalate privileges login items are applications, documents, folders, or server connections that are automatically launched when a user logs in citation: open login items apple login items can be added via a shared file list or service management framework citation: adding login items shared file list login item macos",persistence
"login items adversaries may add login items to execute upon user login to gain persistence or escalate privileges login items are applications, documents, folders, or server connections that are automatically launched when a user logs in citation: open login items apple login items can be added via a shared file list or service management framework citation: adding login items shared file list login item macos",privilege-escalation
"stage capabilities adversaries may upload, install, or otherwise set up capabilities that can be used during targeting to support their operations, an adversary may need to take capabilities they developed develop capabilities or obtained obtain capabilities and stage them on infrastructure under their control these capab pre",resource-development
"link target adversaries may put in place resources that are referenced by a link that can be used during targeting an adversary may rely upon a user clicking a malicious link in order to divulge information including credentials or to gain execution, as in malicious link links can be used for spearphishing, such as sending an email accompanied by social eng pre",resource-development
multi stage channels adversaries may create multiple stages for command and control that are employed under different conditions or for certain functions use of multiple stages may obfuscate the command and control channel to make detection more difficult remote access tools will call back to the first stage command and control server for instructions the first stage may have automated capabilities to collect basi linux macos windows esxi,command-and-control
"financial theft adversaries may steal monetary resources from targets through extortion, social engineering, technical theft, or other methods aimed at their own financial gain at the expense of the availability of these resources for victims financial theft is the ultimate objective of several popular campaign types including extortion by ransomware, citation: fbi ransomware business email compromise bec and linux macos office suite saas windows",impact
execution guardrails adversaries may use execution guardrails to constrain execution or actions based on adversary supplied and environment specific conditions that are expected to be present on the target guardrails ensure that a payload only executes against an intended target and reduces collateral damage from an adversary’s campaign citation: fireeye kevin mandia guardrails values an adversary can provide about esxi linux macos windows,defense-evasion
"cloud storage object discovery adversaries may enumerate objects in cloud storage infrastructure adversaries may use this information during automated discovery to shape follow on behaviors, including requesting all or specific objects from cloud storage similar to file and directory discovery on a local host, after identifying available storage services i e cloud infrastructur iaas",discovery
web cookies adversaries may forge web cookies that can be used to gain access to web applications or internet services web applications and services hosted in cloud saas environments or on premise servers often use session cookies to authenticate and authorize user access adversaries may generate these cookies in order to gain access to web resources this differs from steal web session cookie https: linux macos windows saas iaas,credential-access
"log enumeration adversaries may enumerate system and service logs to find useful data these logs may highlight various types of valuable insights for an adversary, such as user authentication records account discovery security or vulnerable software software discovery or hosts within a compromised network remote sys esxi iaas linux macos windows",discovery
"token impersonation theft adversaries may duplicate then impersonate another user's existing token to escalate privileges and bypass access controls for example, an adversary can duplicate an existing token using or citation: duplicatetoken function the token can then be used with to allow the calling thread to impersonate a logged on user's security context, windows",defense-evasion
"token impersonation theft adversaries may duplicate then impersonate another user's existing token to escalate privileges and bypass access controls for example, an adversary can duplicate an existing token using or citation: duplicatetoken function the token can then be used with to allow the calling thread to impersonate a logged on user's security context, windows",privilege-escalation
"exfiltration to code repository adversaries may exfiltrate data to a code repository rather than over their primary command and control channel code repositories are often accessible via an api ex: access to these apis are often over https, which gives the adversary an additional level of protection exfiltration to a code repository can also provide a significant amount of cover to the adversary if i esxi linux macos windows",exfiltration
cloud services adversaries may log into accessible cloud services within a compromised environment using valid accounts that are synchronized with or federated to on premises user identities the adversary may then perform management actions or access cloud hosted resources as the logged on user many enterprises federate centrally managed user identities to cloud s iaas identity provider office suite saas,lateral-movement
"port knocking adversaries may use port knocking to hide open ports used for persistence or command and control to enable a port, an adversary sends a series of attempted connections to a predefined sequence of closed ports after the sequence is completed, opening a port is often accomplished by the host based firewall, but could also be implemented by custom software this technique has been observed both fo linux macos network devices windows",defense-evasion
"port knocking adversaries may use port knocking to hide open ports used for persistence or command and control to enable a port, an adversary sends a series of attempted connections to a predefined sequence of closed ports after the sequence is completed, opening a port is often accomplished by the host based firewall, but could also be implemented by custom software this technique has been observed both fo linux macos network devices windows",persistence
"port knocking adversaries may use port knocking to hide open ports used for persistence or command and control to enable a port, an adversary sends a series of attempted connections to a predefined sequence of closed ports after the sequence is completed, opening a port is often accomplished by the host based firewall, but could also be implemented by custom software this technique has been observed both fo linux macos network devices windows",command-and-control
"lnk icon smuggling adversaries may smuggle commands to download malicious payloads past content filters by hiding them within otherwise seemingly benign windows shortcut files windows shortcut files lnk include many metadata fields, including an icon location field also known as the designed to specify the path to an icon file that is to be displayed for the lnk file within a host di windows",defense-evasion
"web services adversaries may register for web services that can be used during targeting a variety of popular websites exist for adversaries to register for a web based service that can be abused during later stages of the adversary lifecycle, such as during command and control web service exfiltration over web service pre",resource-development
steal application access token adversaries can steal application access tokens as a means of acquiring credentials to access remote systems and resources application access tokens are used to make authorized api requests on behalf of a user or service and are commonly used as a way to access resources in cloud and container based applications and software as a service saas citation: auth0 why you should always use access containers iaas identity provider office suite saas,credential-access
"spearphishing attachment adversaries may send spearphishing messages with a malicious attachment to elicit sensitive information that can be used during targeting spearphishing for information is an attempt to trick targets into divulging information, frequently credentials or other actionable information spearphishing for information frequently involves social engineering techniques, such as posing as a source with a r pre",reconnaissance
"additional cloud credentials adversaries may add adversary controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment for example, adversaries may add credentials for service principals and applications in addition to existing legitimate credentials in azure entra id citation: microsoft solarwinds customer guidance citation: blue cloud of death citati iaas identity provider saas",persistence
"additional cloud credentials adversaries may add adversary controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment for example, adversaries may add credentials for service principals and applications in addition to existing legitimate credentials in azure entra id citation: microsoft solarwinds customer guidance citation: blue cloud of death citati iaas identity provider saas",privilege-escalation
"user execution an adversary may rely upon specific actions by a user in order to gain execution users may be subjected to social engineering to get them to execute malicious code by, for example, opening a malicious document file or link these user actions will typically be observed as follow on behavior from forms of phishing while user execution linux windows macos iaas containers",execution
"internal defacement an adversary may deface systems internal to an organization in an attempt to intimidate or mislead users, thus discrediting the integrity of the systems this may take the form of modifications to internal websites or server login messages, or directly to user systems with the replacement of the desktop wallpaper citation: novetta blockbuster citation: varonis disturbing or offensive images may esxi linux macos windows",impact
"hidden users adversaries may use hidden users to hide the presence of user accounts they create or modify administrators may want to hide users when there are many user accounts on a given system or if they want to hide their administrative or other management accounts from other users in macos, adversaries can create or modify a user to be hidden through manipulating plist files, folder attributes, and us linux macos windows",defense-evasion
"make and impersonate token adversaries may make new tokens and impersonate users to escalate privileges and bypass access controls for example, if an adversary has a username and password but the user is not logged onto the system the adversary can then create a logon session for the user using the function citation: logonuserw function the function will return a copy of the new session's access token and the windows",defense-evasion
"make and impersonate token adversaries may make new tokens and impersonate users to escalate privileges and bypass access controls for example, if an adversary has a username and password but the user is not logged onto the system the adversary can then create a logon session for the user using the function citation: logonuserw function the function will return a copy of the new session's access token and the windows",privilege-escalation
group policy preferences adversaries may attempt to find unsecured credentials in group policy preferences gpp gpp are tools that allow administrators to create domain policies with embedded credentials these policies allow administrators to set local accounts citation: microsoft gpp 2016 these group policies are stored in sysvol on a domain controller this means that any domain user can view the sysvol share and windows,credential-access
"exfiltration over asymmetric encrypted non c2 protocol adversaries may steal data by exfiltrating it over an asymmetrically encrypted network protocol other than that of the existing command and control channel the data may also be sent to an alternate network location from the main command and control server asymmetric encryption algorithms are those that use different keys on each end of the channel also known as public key cryptography, this r esxi linux macos windows",exfiltration
"cloud account adversaries may attempt to get a listing of cloud accounts cloud accounts are those created and configured by an organization for use by users, remote support, services, or for administration of resources within a cloud service provider or saas application with authenticated access there are several tools that can be used to find accounts the <code>get msolrolemember< code> powershell cmdlet c iaas identity provider office suite saas",discovery
"audio visual content adversaries may create or manipulate audio, image, and video content to support targeting and malicious operations adversaries may also use synthetic voice recordings, real time altered audio or video during live interactions, fabricated profile photos and identity documents, or video content depicting fabricated or impersonated individuals citation: nov ai threat tracker content may be produc pre",resource-development
process discovery adversaries may attempt to get information about running processes on a system information obtained could be used to gain an understanding of common software applications running on systems within the network administrator or otherwise elevated access may provide better process details adversaries may use the information from process discovery during esxi linux macos network devices windows,discovery
"network provider dll adversaries may register malicious network provider dynamic link libraries dlls to capture cleartext user credentials during the authentication process network provider dlls allow windows to interface with specific network protocols and can also support add on credential management functions citation: network provider api during the logon process, winlogon the interactive logon module sends windows",defense-evasion
"network provider dll adversaries may register malicious network provider dynamic link libraries dlls to capture cleartext user credentials during the authentication process network provider dlls allow windows to interface with specific network protocols and can also support add on credential management functions citation: network provider api during the logon process, winlogon the interactive logon module sends windows",persistence
"network provider dll adversaries may register malicious network provider dynamic link libraries dlls to capture cleartext user credentials during the authentication process network provider dlls allow windows to interface with specific network protocols and can also support add on credential management functions citation: network provider api during the logon process, winlogon the interactive logon module sends windows",credential-access
"windows management instrumentation event subscription adversaries may establish persistence and elevate privileges by executing malicious content triggered by a windows management instrumentation wmi event subscription wmi can be used to install event filters, providers, consumers, and bindings that execute code when a defined event occurs examples of events that may be subscribed to are the wall clock time, user login, or the computer's uptime windows",privilege-escalation
"windows management instrumentation event subscription adversaries may establish persistence and elevate privileges by executing malicious content triggered by a windows management instrumentation wmi event subscription wmi can be used to install event filters, providers, consumers, and bindings that execute code when a defined event occurs examples of events that may be subscribed to are the wall clock time, user login, or the computer's uptime windows",persistence
"cdns adversaries may search content delivery network cdn data about victims that can be used during targeting cdns allow an organization to host content from a distributed, load balanced array of servers cdns may also allow organizations to customize content delivery based on the requestor’s geographical region adversaries may search cdn data to gather actionable information threat actors can us pre",reconnaissance
"user activity based checks adversaries may employ various user activity checks to detect and avoid virtualization and analysis environments this may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment vme or sandbox if the adversary detects a vme, they may alter their malware to disengage from the victim or conceal the core functions of the linux macos windows",defense-evasion
"user activity based checks adversaries may employ various user activity checks to detect and avoid virtualization and analysis environments this may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment vme or sandbox if the adversary detects a vme, they may alter their malware to disengage from the victim or conceal the core functions of the linux macos windows",discovery
"cloud service hijacking adversaries may leverage compromised software as a service saas applications to complete resource intensive tasks, which may impact hosted service availability for example, adversaries may leverage email and messaging services, such as aws simple email service ses , aws simple notification service sns , sendgrid, and twilio, in order to send large quantities of spam phishing saas",impact
"cloud accounts adversaries may create accounts with cloud providers that can be used during targeting adversaries can use cloud accounts to further their operations, including leveraging cloud storage services such as dropbox, mega, microsoft onedrive, or aws s3 buckets for exfiltration to cloud storage or to upload tool pre",resource-development
software deployment tools adversaries may gain access to and use centralized software suites installed within an enterprise to execute commands and move laterally through the network configuration management and software deployment applications may be used in an enterprise network or cloud environment for routine administration purposes these systems may also be integrated into ci cd pipelines examples of such solutions linux macos network devices saas windows,execution
software deployment tools adversaries may gain access to and use centralized software suites installed within an enterprise to execute commands and move laterally through the network configuration management and software deployment applications may be used in an enterprise network or cloud environment for routine administration purposes these systems may also be integrated into ci cd pipelines examples of such solutions linux macos network devices saas windows,lateral-movement
exfiltration over c2 channel adversaries may steal data by exfiltrating it over an existing command and control channel stolen data is encoded into the normal communications channel using the same protocol as command and control communications esxi linux macos windows,exfiltration
"parent pid spoofing adversaries may spoof the parent process identifier ppid of a new process to evade process monitoring defenses or to elevate privileges new processes are typically spawned directly from their parent, or calling, process unless explicitly specified one way of explicitly assigning the ppid of a new process is via the <code>createprocess< code> api call, which supports a parameter that defines th windows",defense-evasion
"parent pid spoofing adversaries may spoof the parent process identifier ppid of a new process to evade process monitoring defenses or to elevate privileges new processes are typically spawned directly from their parent, or calling, process unless explicitly specified one way of explicitly assigning the ppid of a new process is via the <code>createprocess< code> api call, which supports a parameter that defines th windows",privilege-escalation
"gather victim org information adversaries may gather information about the victim's organization that can be used during targeting information about an organization may include a variety of details, including the names of divisions departments, specifics of business operations, as well as the roles and responsibilities of key employees adversaries may gather this information in various ways, such as direct elicitation via pre",reconnaissance
"forge web credentials adversaries may forge credential materials that can be used to gain access to web applications or internet services web applications and services hosted in cloud saas environments or on premise servers often use session cookies, tokens, or other materials to authenticate and authorize user access adversaries may generate these credential materials in order to gain access to web resources thi saas windows macos linux iaas office suite identity provider",credential-access
multi factor authentication request generation adversaries may attempt to bypass multi factor authentication mfa mechanisms and gain access to accounts by generating mfa requests sent to users adversaries in possession of credentials to valid accounts may be unable to complete the login process if they lack access to the 2fa or mfa mechanisms required as an additional credential and security con windows linux macos iaas saas office suite identity provider,credential-access
